Low Productivity,Reactor Construction,0.27292,0.34831,0.42975,0.54574,0.84135
Low Productivity,Water Transport,0.60768,0.75989,0.94225,1.2071,1.8469
Low Productivity,Mixing,0.40489,0.58258,0.73541,0.96382,1.4907
Low Productivity,CO2 Compression,0.06479,0.078938,0.096981,0.12093,0.16015
Low Productivity,Nutrients,0.32064,0.37294,0.41949,0.48611,0.59206
Base Productivity,Reactor Construction,0.12053,0.13746,0.15152,0.16893,0.19855
Base Productivity,Water Transport,0.27257,0.30657,0.33776,0.37508,0.43303
Base Productivity,Mixing,0.16268,0.21869,0.26777,0.31656,0.38858
Base Productivity,CO2 Compression,0.064207,0.078227,0.096107,0.11984,0.15871
Base Productivity,Nutrients,0.32064,0.37294,0.41949,0.48611,0.59206
High Productivity,Reactor Construction,0.076568,0.083826,0.090219,0.097214,0.10849
High Productivity,Water Transport,0.17651,0.18805,0.19905,0.21072,0.22807
High Productivity,Mixing,0.099052,0.13113,0.15757,0.18424,0.22202
High Productivity,CO2 Compression,0.064207,0.078227,0.096107,0.11984,0.15871
High Productivity,Nutrients,0.32064,0.37294,0.41949,0.48611,0.59206
